Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1827A","Ancona Cittadella","SPO.IT1827A_6001_gravi_2006-10-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","0.000","count","92.35","1","Background","Urban","13.5086","43.6117","100.0","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","10/02/2026 23:01:17","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1827A_6001_gravi_2006-10-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1827A","Ancona Cittadella","SPO.IT1827A_6001_gravi_2006-10-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","1.000","count","92.35","1","Background","Urban","13.5086","43.6117","100.0","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","10/02/2026 23:02:38","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1827A_6001_gravi_2006-10-01_00_00_00.parquet","hour"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1871A","ESTE","SPO.IT1871A_6001_BETA_2014-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","20.646","ug/m3","96.72","1","Industrial","Suburban","11.6658","45.2267","12.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1871A_6001_BETA_2014-01-01_00_00_00.parquet","day"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1827A","Ancona Cittadella","SPO.IT1827A_6001_gravi_2006-10-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-per50","1 year 50 percentile","2024","11.100","ug/m3","89.95","1","Background","Urban","13.5086","43.6117","100.0","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","10/02/2026 23:03:53","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1827A_6001_gravi_2006-10-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1827A","Ancona Cittadella","SPO.IT1827A_6001_gravi_2006-10-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","14.497","ug/m3","30.04","1","Background","Urban","13.5086","43.6117","100.0","Ancona                                                                          ","IT017C1                                           ","99077","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1827A_6001_gravi_2006-10-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1842A","MONTEMONACO","SPO.IT1842A_6001_BETA_2006-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-min","1 year day min","2024","0.800","ug/m3","90.98","1","Background","Rural","13.3367","42.9006","1000.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:04","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1842A_6001_BETA_2006-01-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1842A","MONTEMONACO","SPO.IT1842A_6001_BETA_2006-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","0.000","count","90.98","1","Background","Rural","13.3367","42.9006","1000.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:01:17","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1842A_6001_BETA_2006-01-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1842A","MONTEMONACO","SPO.IT1842A_6001_BETA_2006-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","5.619","ug/m3","61.48","1","Background","Rural","13.3367","42.9006","1000.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1842A_6001_BETA_2006-01-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1843A","MONTICELLI","SPO.IT1843A_6001_BETA_2006-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-max","1 year hour max","2024","44.600","ug/m3","90.16","1","Background","Urban","13.6194","42.8486","150.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:19","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1843A_6001_BETA_2006-01-01_00_00_00.parquet","hour"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2009A","CENS16","SPO.IT2009A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","5.203","ug/m3","95.90","1","Background","Urban","8.5761","40.7244","275.0","Sassari                                                                         ","IT026C1                                           ","125273","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2009A_6001_BETA_2012-01-01_00_00_00.parquet","day"
