Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1860A,Piazza Vittoria,SPO.IT1860A_5_BETA_2012-06-20_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y,Annual mean / 1 calendar year,2023,17.549,ug/m3,98.36,1,Background,Urban,12.7372,42.7397,319.0,Spoleto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:07,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1860A,Piazza Vittoria,SPO.IT1860A_5_BETA_2012-06-20_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2023,1.0,count,98.36,1,Background,Urban,12.7372,42.7397,319.0,Spoleto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2036A,RG - Villa Archimede,SPO.IT2036A_5_BETA_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max36,1 year day max 36,2023,35.0,ug/m3,91.78,1,Background,Urban,14.7145,36.9263,598.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:53,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2033A,RG - Campo Atletica,SPO.IT2033A_5_BETA_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per95.07,1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,55.4,ug/m3,95.34,1,Background,Suburban,14.734,36.9171,501.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2036A,RG - Villa Archimede,SPO.IT2036A_5_BETA_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.41,1 year 90.41 percentile,2023,36.6,ug/m3,91.78,1,Background,Urban,14.7145,36.9263,598.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:34,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2036A,RG - Villa Archimede,SPO.IT2036A_5_BETA_2011-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per95.07,1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,47.4,ug/m3,91.78,1,Background,Urban,14.7145,36.9263,598.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:38,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT0813A,Gela - Via Venezia,SPO.IT0813A_5_BETA_2017-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,81.0,ug/m3,95.07,1,Traffic,Urban,14.2536,37.0703,15.0,Gela                                                                            ,IT069C1                                           ,72187.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2274A,Porto Empedocle,SPO.IT2274A_5_BETA_2016-06-16_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-3daysAbove90,3 consecutive days in exceedance of 90,2023,0.0,count,94.79,1,Background,Suburban,13.5325,37.2919,0.0,Porto Empedocle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:21,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2274A,Porto Empedocle,SPO.IT2274A_5_BETA_2016-06-16_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max36,1 year day max 36,2023,33.0,ug/m3,94.79,1,Background,Suburban,13.5325,37.2919,0.0,Porto Empedocle,,,E1a/validated data AQ e-Reporting,10/02/2026 23:01:53,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1900A,PORTA ROMANA,SPO.IT1900A_5_BETA_2008-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2023,2.0,count,98.36,1,Traffic,Urban,12.7078,42.9517,234.0,Foligno,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1900A,PORTA ROMANA,SPO.IT1900A_5_BETA_2008-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-P1D-per90.4,1 year 90.4 percentile - COMPLIANCE,2023,49.0,ug/m3,98.36,1,Traffic,Urban,12.7078,42.9517,234.0,Foligno,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:30,day
Italy,NET.IT252A,RETE REGIONALE UMBRIA,IT1900A,PORTA ROMANA,SPO.IT1900A_5_BETA_2008-01-01_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P3Y,3 subsequent calendar years mean,2023,24.947,ug/m3,96.44,1,Traffic,Urban,12.7078,42.9517,234.0,Foligno,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,day
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT0643A,Alessandria - D'Annunzio,SPO.IT0643A_5_gravi_2009-07-06_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove45,1 year day exceed 45,2023,49.0,count,94.25,1,Traffic,Urban,8.612,44.9066,95.0,Alessandria                                                                     ,IT518C1                                           ,92876.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:34,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2311A,CT - Ospedale Garibaldi,SPO.IT2311A_5_BETA_2021-03-29_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-day-max36,1 year day max 36,2023,42.2,ug/m3,97.81,1,Traffic,Urban,15.0752,37.5116,46.4,Catania                                                                         ,IT010C1                                           ,296266.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:53,day
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2311A,CT - Ospedale Garibaldi,SPO.IT2311A_5_BETA_2021-03-29_00:00:00,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove90,1 year day exceed 90,2023,2.0,count,97.81,1,Traffic,Urban,15.0752,37.5116,46.4,Catania                                                                         ,IT010C1                                           ,296266.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:44,day
