Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2313A,Lampedusa,SPO.IT2313A_7_UV-P_2021-05-26_00:00:00,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2023,8.0,count,66.67,1,Background,Rural,12.5979,35.5028,20.0,Lampedusa e Linosa,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:58,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1997A,Milazzo - Termica,SPO.IT1997A_7_UV-P_2009-01-01_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2023,87.432,ug/m3,85.75,1,Background,Suburban,15.2491,38.1906,28.0,Milazzo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT0620A,SR - Via Gela,SPO.IT0620A_7_UV-P_2002-07-20_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2023,95.17,ug/m3,96.71,1,Background,Suburban,15.2625,37.0984,60.0,Siracusa                                                                        ,IT509C1                                           ,119056.0,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1997A,Milazzo - Termica,SPO.IT1997A_7_UV-P_2009-01-01_00:00:00,O3,Ozone (air),P1Y-hr-min,1 year hour min,2023,5.259,ug/m3,84.82,1,Background,Suburban,15.2491,38.1906,28.0,Milazzo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:46,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT0620A,SR - Via Gela,SPO.IT0620A_7_UV-P_2002-07-20_00:00:00,O3,Ozone (air),P1Y-P1D-per99,1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,2023,110.89,ug/m3,96.71,1,Background,Suburban,15.2625,37.0984,60.0,Siracusa                                                                        ,IT509C1                                           ,119056.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:44,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT0620A,SR - Via Gela,SPO.IT0620A_7_UV-P_2002-07-20_00:00:00,O3,Ozone (air),summer-avg,Summer mean,2023,87.581,ug/m3,90.73,1,Background,Suburban,15.2625,37.0984,60.0,Siracusa                                                                        ,IT509C1                                           ,119056.0,E1a/validated data AQ e-Reporting,10/02/2026 23:10:48,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2023,13317.069,ug/m3,99.82,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 22:18:22,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-day-min,1 year day min,2023,34.442,ug/m3,94.79,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:04,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-dmaxAbove120,1 year daymax exceed 120,2023,4.0,count,94.25,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:51,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-dmax-per95.07,1 year 95.07 percentile daily 8h maximum,2023,113.071,ug/m3,94.25,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:59,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-hr-min,1 year hour min,2023,3.458,ug/m3,91.26,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:46,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2314A,Pozzallo,SPO.IT2314A_7_UV-P_2021-03-29_00:00:00,O3,Ozone (air),P1Y-hr-per50,1 year 50 percentile,2023,69.04,ug/m3,91.26,1,Background,Urban,14.8387,36.7295,15.8,Pozzallo,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:53,hour
